predictors_amp_n_ 1,predictors_amp_n_ 2,predictors_amp_n_ 3,predictors_amp_n_ 4,predictors_amp_n_ 5,predictors_amp_n_ 6,predictors_amp_n_ 7,predictors_amp_n_ 8,predictors_amp_n_ 9,predictors_amp_n_10,predictors_amp_n_11,predictors_amp_n_12,predictors_amp_n_13,predictors_amp_n_14,predictors_amp_n_15,predictors_amp_n_16,predictors_amp_n_17,predictors_amp_n_18,predictors_amp_n_19,predictors_amp_n_20,Var2
39,0,7.72E-06,5.3528,0.24207,0.0016316,0.00060126,0.53981,1.5779,0.66728,0.036293,0.0011463,0.2696,0.23515,0.0047703,2.6377,0,0,5.9006,2,127.81
40,0,6.28E-06,6.3293,3.4411,0.0010835,0.00063909,1.3614,0.132,0.84389,0.020946,0.0028724,0.60867,0.13438,0.0047739,1.0599,0,0,5.7544,2,32.837
41,0,0.0020763,7.6731,22.03,0.035003,74.381,9.4845,1.1867,1.9154,0.060639,0.0012796,2.7708,0.16404,2.609,8.731,0,0,13.483,2,38.636
42,0,1.14E-05,7.2369,1.703,3.5503,0.029903,0.14009,20.801,3.7725,0.21792,0.00059969,0.25262,0.2735,0.0030229,7.4488,0,0,5.9587,2,191.61
43,0,4.40E-05,27.532,0.21606,0.00047969,0.00087585,8.7563,3.6826,1.0111,0.019479,0.00051999,0.81111,0.083304,0.0024732,0.74706,0,0,4.1663,2,39.24
44,0,5.05E-05,10.611,6.8022,0.018608,1.4224,3.2532,7.6469,0.44088,0.073697,0.0015647,0.45322,0.046502,0.0046593,0.15028,0,0,4.0157,2,112.8
45,0,2.86E-05,2.0609,0.33605,0.0061858,0.05587,3.6364,0.015841,0.86537,0.0041747,0.00089563,0.018031,0.98658,0.0055575,0.65356,0,0,1.4636,2,26.671
46,0,3.24E-05,50.329,5.751,0.058702,62.842,0.33905,24.826,23.105,0.050315,0.0023456,0.46457,0.12478,1.8253,57.024,0,0,10.118,2,193.54
47,0,3.13E-05,21.243,2.1357,1.3659,9.59,7.3152,46.783,3.5808,0.2863,0.0013054,0.25921,4.4114,0.006553,8.4935,0,0,20.454,2,180.71
48,0,8.77E-06,18.505,1.0401,0.0022424,0.0015298,8.2753,0.09677,0.60387,0.034407,0.0032371,0.55356,1.5696,0.018455,3.5059,0,0,5.6237,2,20.052
49,0,0.00010499,3.5606,48.049,0.039828,0.21782,6.0474,0.63048,60.101,0.68528,0.049023,30.928,0.76796,15.698,98.705,0,0,89.787,2,190.91
50,0,0.0018025,20.04,4.0648,4.9516,0.013195,36.758,1.6767,73.264,0.63441,14.325,10.121,13.189,0.082137,99.735,0,0,93.342,2,150
51,0,0.0038407,6.3853,0.779,5.014,1.2946,4.8915,0.57059,19.297,0.76264,0.087942,11.325,0.24128,0.78345,37.027,0,0,75.108,2,2.6904
52,0,0.0018435,48.457,95.431,0.91082,96.276,99.751,2.7043,33.562,2.2617,0.033846,0.38837,19.255,0.0076664,92.266,0,0,53.587,2,4.5956
53,0,1.06E-05,3.796,0.29441,0.0020792,0.00244,0.67706,0.040888,17.06,0.058709,0.0079637,0.29018,0.043765,0.014026,5.7653,0,0,6.9955,2,20.512
54,0,6.31E-05,3.7142,0.50198,0.0015641,0.22925,0.36177,1.0643,5.7046,0.039849,0.0039138,0.12293,0.20022,0.0071997,4.893,0,0,9.514,2,169.36
55,0,6.34E-06,3.4677,2.2179,0.037464,0.042649,8.5183,0.3252,12.489,0.10883,0.0060132,7.934,18.625,0.2125,74.644,0,0,19.964,2,193.35
56,0,0.00020139,24.054,0.15493,0.011839,0.013674,1.3583,3.172,11.1,0.044654,0.018255,0.90157,0.42329,0.035789,8.7225,0,0,6.5828,2,190.04
57,0,3.61E-05,3.9923,0.40029,0.0021639,0.0028804,1.5277,11.558,1.7591,0.045535,0.0050405,1.0818,0.46394,0.0049277,1.471,0,0,3.3093,2,39.856
58,0,3.24E-05,7.5486,0.6437,0.0036697,0.00070809,4.4509,0.24891,6.9514,0.039092,0.017671,0.55483,0.25115,0.016334,2.1568,0,0,7.7843,2,192.01
59,0,0.00010149,8.8443,1.2442,0.0068922,0.0036751,76.807,1.0789,4.3227,0.037586,0.0069758,5.5799,0.10974,0.034838,3.1648,0,0,5.6271,2,121.28
60,0,5.02E-06,17.239,0.30541,0.0045994,0.16949,0.53182,6.4447,4.7716,0.15419,0.0013445,0.56539,2.497,0.010532,54.395,0,0,22.156,2,144.07
